----------------------------------------------------------------------------------,,,,
Search Criteria: ,,,,
"Text Search: lung cancer (and);Search in: Projects 		AdminIC: All; Fiscal Year: Active Projects ",,,,
----------------------------------------------------------------------------------,,,,
Project Title,Organization Name,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
STUDIES OF OCCUPATIONAL CANCER (PESTICIDES),DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,2015,1972780,
ALPHA-TOCOPHEROL; BETA-CAROTENE CANCER PREVENTION (ATBC) STUDY,DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,2015,1249143,
ETIOLOGIC STUDIES OF PROSTATE CANCER,DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,2015,289288,
USE OF GENETICALLY ENGINEERED T CELLS TARGETING TUMOR STROMA TO TREAT LUNG CANCER,UNIVERSITY OF PENNSYLVANIA,2016,357673,
PRE-DETERMINE: BIOLOGIC MARKERS AND MRI SCD COHORT STUDY,BRIGHAM AND WOMEN'S HOSPITAL,2014,1286326,
SOUTHEAST MICHIGAN COMMUNITY NETWORK PROGRAM,WAYNE STATE UNIVERSITY,2015,256783,
SOUTHEAST MICHIGAN COMMUNITY NETWORK PROGRAM,WAYNE STATE UNIVERSITY,2014,100000,
SOUTHEAST MICHIGAN COMMUNITY NETWORK PROGRAM,WAYNE STATE UNIVERSITY,2014,743260,
GERMLINE AND SOMATIC GENETIC CHANGES IN PULMONARY ARTERIAL HYPERTENSION,CLEVELAND CLINIC LERNER COM-CWRU,2016,390306,
UNRAVELING GENETIC DETERMINANTS OF LUNG CANCER RISK IN AFRICAN AMERICANS,VANDERBILT UNIVERSITY MEDICAL CENTER,2016,160123,
P90RSK2-STATHMIN SIGNALING IN METASTATIC HUMAN CANCERS,EMORY UNIVERSITY,2016,43576,
HUMAN MAST CELL-SPECIFIC MAS-RELATED GENE-X2 (MRGX2) IN ANAPHYLAXIS AND ASTHMA,UNIVERSITY OF PENNSYLVANIA,2015,240000,
HUMANIZED MICE TO STUDY MAST CELL FUNCTION,UNIVERSITY OF PENNSYLVANIA,2015,235200,
LESION-SPECIFIC QCT IMPROVES PREDICTION OF PATHOLOGIC VERTEBRAE FRACTURE LOAD,BETH ISRAEL DEACONESS MEDICAL CENTER,2016,193149,
PROJECT #2: A MIXED CHIMERISM APPROACH TO LUNG ALLOGRAFT TOLERANCE IN NON-HUMAN P,MASSACHUSETTS GENERAL HOSPITAL,2017,,547839
NEUTROPHIL PLASTICITY AND H. PYLORI PATHOGENESIS,UNIVERSITY OF IOWA,2016,174740,
ESTABLISHMENT AND METABOLIC CONTROL OF INFLUENZA-SPECIFIC LUNG-RESIDENT MEMORY B CELLS,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2016,56943,
TOXIN-INDUCED ALTERNATIVE MRNA SPLICING IN TOLL-LIKE RECEPTOR SIGNALING PATHWAYS,NATIONAL JEWISH HEALTH,2016,356625,
MULTI-TENSOR DECOMPOSITIONS FOR PERSONALIZED CANCER DIAGNOSTICS AND PROGNOSTICS,UNIVERSITY OF UTAH,2016,590758,
ONCOGENIC DISRUPTION OF THE CIRCADIAN METABOLIC CYCLE IN CANCER,UNIVERSITY OF PENNSYLVANIA,2016,86521,
NOVEL MOLECULAR MECHANISMS REGULATING POSTNATAL PULMONARY ANGIOGENESIS,STANFORD UNIVERSITY,2016,489377,
DEVELOPMENT OF A NOVEL BIOLOGIC MEDICAL PRODUCT FOR DYSKERATOSIS CONGENITA,"ELIXIRGEN, LLC",2016,148400,
CANCER THERAPEUTICS RESEARCH PROGRAM,UNIVERSITY OF PENNSYLVANIA,2016,,72887
HLTF GENE SILENCING: A NOVEL DETERMINANT OF SENSITIVITY TO AUTOPHAGY INHIBITION,UNIVERSITY OF PENNSYLVANIA,2016,312942,
DYSFUNCTIONAL MUSCLE REMODELING AND REGENERATION IN ENVIRONMENTAL DISEASE,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,538442,
MARYLAND PROSTATE CANCER CASE-CONTROL STUDY,DIVISION OF BASIC SCIENCES - NCI,2015,589474,
CONVERGENCE OF CREB AND MYC PATHWAYS IN ONCOGENESIS.,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,249000,
TARGETED PLATINATES/SIRNA COMBINATION THERAPY FOR RESISTANT LUNG CANCER,NORTHEASTERN UNIVERSITY,2015,202928,
ROLE OF IGF-IR TYROSINE KINASE IN NPM-ALK-EXPRESSING T-CELL LYMPHOMA,UNIVERSITY OF TX MD ANDERSON CAN CTR,2015,327850,
THE DEVELOPMENT OF RADIOLABELED PROBES FOR IMAGING AND THERAPY WHICH TARGET THE CHEMOKINE CXCR4,WEILL MEDICAL COLL OF CORNELL UNIV,2016,56118,
COORDINATING CENTER:  MOLECULAR AND CELLULAR FINDINGS OF SCREEN-DETECTED LESIONS,DARTMOUTH COLLEGE,2016,473756,
THE CLINICAL USE OF FLT3L - AN IMMUNE ADJUVANT TO POTENTIATE DENDRITIC CELLS,BRIGHAM AND WOMEN'S HOSPITAL,2016,178200,
PERIPHERAL MECHANISMS OF HOMEOSTASIS AND TOLERANCE THROUGH SKIN DENDRITIC CELLS,BRIGHAM AND WOMEN'S HOSPITAL,2016,409597,
BITTER MELON COMPONENT AND COLON CANCER PREVENTION,UNIVERSITY OF KANSAS MEDICAL CENTER,2016,544710,
TUMOR-HOMING EXOSOMES FOR DRUG DELIVERY,UNIVERSITY OF COLORADO DENVER,2016,388750,
IN VIVO IMAGING FACILITY,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,,189488
RELATIONSHIPS BETWEEN GUIDELINE-CONCORDANT TREATMENT AND SURVIVAL FOLLOWING AN ENDOMETRIAL CANCER DIAGNOSIS IN THE LIFE AND LONGEVITY AFTER CANCER STUDY,FRED HUTCHINSON CANCER RESEARCH CENTER,2016,116303,
WOMEN'S HEALTH INITIATIVE CANCER SURVIVOR COHORT,FRED HUTCHINSON CANCER RESEARCH CENTER,2016,170764,
WOMEN'S HEALTH INITIATIVE CANCER SURVIVOR COHORT,FRED HUTCHINSON CANCER RESEARCH CENTER,2016,2396733,
PERSONAL ENVL EXPOSURE ASSMT USING WRISTBANDS FOR EPI STUDIES IN DISADV COMM,OREGON STATE UNIVERSITY,2016,457550,
TARGETING THE C-MET/HGF AXIS IN ACUTE MYELOID LEUKEMIA,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2015,79250,
DEVELOPMENT OF A5 NICOTINIC RECEPTOR AGONISTS FOR SMOKING CESSATION,"OPHIDION, INC.",2016,407007,
TECHNOLOGY TRANSFER,NATIONAL INSTITUTE OF DENTAL & CRANIOFACIAL RESEARCH,2015,1533071,
CLINICAL BACTERIAL ISOLATE ENGINEERED AS AN IMMUNOTHERAPY FOR PROSTATE CANCER,NORTHWESTERN UNIVERSITY AT CHICAGO,2016,48576,
REVEALING MASKED SPECIFICITIES OF HUMAN NUCLEAR RECEPTORS,UNIVERSITY OF WISCONSIN-MADISON,2016,386185,
TARGETING THE ADENOSINE A2A RECEPTOR IMMUNE CHECKPOINT IN LUNG CANCER PATIENTS,H. LEE MOFFITT CANCER CTR & RES INST,2016,321654,
CLINICAL CORE,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2016,,367576
SUMMER PROGRAMS FOR VETERINARY STUDENTS (T35),TUFTS UNIVERSITY BOSTON,2016,111683,
TRANSLATING RESEARCH INTO SYSTEMIC INTERVENTIONS FOR TOBACCO CESSATION,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2015,169560,
RESEARCH PROGRAM: HEMATOLOGIC MALIGNANCIES,FRED HUTCHINSON CANCER RESEARCH CENTER,2016,,34689
INTERACTION WITH RIP2 AND TH17 IN CHRONIC INFLAMMATION,CEDARS-SINAI MEDICAL CENTER,2016,218750,
MOLECULAR AND CLINICAL ENDOCRINE IMPACTS OF ARSENIC EXPOSURE IN CHILDREN,UNIVERSITY OF ILLINOIS AT CHICAGO,2016,326696,
ROLE OF OSTEOACTIVIN IN INVASION BY ORAL CANCERS,TEMPLE UNIV OF THE COMMONWEALTH,2014,164561,
CLINICAL CANCER CYTOGENETICS,DIVISION OF BASIC SCIENCES - NCI,2015,910395,
CYTOGENETIC STUDIES OF B-CELL CHRONIC LYMPHOCYTIC LEUKEMIA (B-CLL),DIVISION OF CLINICAL SCIENCES - NCI,2015,107105,
DCTD BIOPHARMACEUTICAL DEVELOPMENT,"LEIDOS BIOMEDICAL RESEARCH, INC.",2010,9525000,
DCTD SCREENING TECHNOLOGIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2010,1080000,
MOLECULAR ASSAYS FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2010,8846021,
REPOSITORY SERVICES FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2010,1521738,
GENOTYPING FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2010,5009998,
DCTD COMPUTER SUPPORT,"LEIDOS BIOMEDICAL RESEARCH, INC.",2010,2031000,
DCTD IN VIVO PRECLINICAL TESTING,"LEIDOS BIOMEDICAL RESEARCH, INC.",2010,3038000,
DCTD HUMAN TOXICOLOGY AND PHARMACOLOGY,"LEIDOS BIOMEDICAL RESEARCH, INC.",2010,,
DCTD PRECLINICAL IN VIVO/IN VITRO ASSAY DEVELOPMENT,"LEIDOS BIOMEDICAL RESEARCH, INC.",2010,1893000,
DCTD CANCER IMAGING,"LEIDOS BIOMEDICAL RESEARCH, INC.",2010,3000000,
DCTD BIOPHARMACEUTICAL DEVELOPMENT - TYPE 1 DIABETES RAID PROJECTS,SCIENCE APPLICATIONS INTERNATIONAL CORP,2009,1450000,
DCTD BIOPHARMACEUTICAL DEVELOPMENT,SCIENCE APPLICATIONS INTERNATIONAL CORP,2009,11541306,
DCTD SCREENING TECHNOLOGIES,SCIENCE APPLICATIONS INTERNATIONAL CORP,2009,2000000,
MOLECULAR ASSAYS FOR EPIDEMIOLOGY STUDIES,SCIENCE APPLICATIONS INTERNATIONAL CORP,2009,2141534,
REPOSITORY SERVICES FOR EPIDEMIOLOGY STUDIES,SCIENCE APPLICATIONS INTERNATIONAL CORP,2009,1066827,
GENOTYPING FOR EPIDEMIOLOGY STUDIES,SCIENCE APPLICATIONS INTERNATIONAL CORP,2009,614909,
DCTD CANCER IMAGING,SCIENCE APPLICATIONS INTERNATIONAL CORP,2009,5000000,
DEVELOPMENT OF THERAPEUTIC CHEMOKINE-BASED FORMULATIONS,NATIONAL INSTITUTE ON AGING,2015,651880,
MECHANISMS OF DIFFERENTIATION CHANGES IN SKIN DISEASE AND MALIGNANCY,WEILL MEDICAL COLL OF CORNELL UNIV,2016,44680,
IDENTIFYING GENOME-SCALE INTERACTION EFFECTS IN HUMAN TRAITS AND DISEASES,HARVARD SCHOOL OF PUBLIC HEALTH,2016,201875,
UNDERSTANDING THE ROLE OF COGNITIVE DYSFUNCTION IN THE TREATMENT OF NICOTINE DEPENDENCE AMONG HIV-INFECTED SMOKERS,UNIVERSITY OF PENNSYLVANIA,2016,660298,
THE IMPACT OF ELECTRONIC CIGARETTES (E-CIGS) ON PERINATAL IMMUNE RESPONSIVENESS AND BIRTH OUTCOMES IN APPALACHIA,UNIVERSITY OF KENTUCKY,2016,602807,
RISK FACTORS FOR VENOUS THROMBOEMBOLISM IN THE COMMUNITY,MAYO CLINIC ROCHESTER,2016,694654,
REGULATION AND CONSEQUENCES OF UBIQUITINATION,DIVISION OF BASIC SCIENCES - NCI,2015,321498,
TRANSLATIONAL REPRESSION & ASPERGILLUS FUMIGATUS VIRULENCE,UNIVERSITY OF CINCINNATI,2015,204182,
ER STRESS AND CALCIUM IN HOST ADAPTATION OF A. FUMIGATUS,UNIVERSITY OF CINCINNATI,2016,387568,
MOLECULAR MECHANISMS OF CHRONIC AIRWAY AND ALVEOLAR DISEASE IN HIV,WASHINGTON UNIVERSITY,2016,622967,
PERSONALIZED THERAPEUTICS FOR INHIBITING BREAST CANCER METASTASIS,CITY COLLEGE OF NEW YORK,2012,2295000,
FUNCTIONAL EXAMINATION OF AGE-RELATED STEM CELL DYSFUNCTION IN THE DROSOPHILA GUT,BRIGHAM AND WOMEN'S HOSPITAL,2016,66510,
ROLE OF THE MITOCHONDRIAL CITRATE CARRIER SLC25A1(CIC)IN CANCER PROGRESSION AND THERAPY,GEORGETOWN UNIVERSITY,2016,355706,
EFFECTS OF DIABETES OF THE MULTISCALE MECHANICAL BEHAVIOR OF CLOT STRUCTURES,UNIVERSITY OF GEORGIA,2016,155977,
LINKING STATE REGISTRY AND ALL PAYER CLAIMS DATA TO STUDY CANCER CARE,UNIVERSITY OF MICHIGAN,2015,80385,
MODULATION OF THE IMMUNE SYSTEM AS A STRATEGY TO TREAT EGFR MUTANT LUNG ADENOCARCINOMA,YALE UNIVERSITY,2017,28224,
GLYCAN LINKAGE AND SEQUENCE PLUS DETERMINATION OF SITE OF GLYCOSYLATION BY PERMETHYLATION OF GLYCOPEPTIDES AND MSN ANALYSIS IN A ONE POT EXPERIMENT,UNIVERSITY OF GEORGIA,2016,291000,
DYSPNEA ON EXERTION IN OBESITY:  EFFECTS OF EXERCISE TRAINING AND WEIGHT LOSS,UT SOUTHWESTERN MEDICAL CENTER,2014,423772,
USING FAP TO SELECTIVELY TARGET EPITHELIAL CANCERS,TUFTS UNIVERSITY BOSTON,2016,349435,
THE ROLE OF PI3KBETA IN BREAST CANCER METASTASIS,"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC",2016,354040,
OPTICAL NANOSCALE ANALYSIS OF BUCCAL CELLS: TRANSFORMING LUNG CANCER SCREENING,NORTHWESTERN UNIVERSITY,2014,527979,
NANOSCALE/MOLECULAR ANALYSIS OF FECAL COLONOCYTES FOR COLORECTAL CANCER SCREENING,NORTHWESTERN UNIVERSITY,2016,543723,
BIOPHOTONICS TO COUPLE PANCREATIC WITH UPPER GI SCREENING VIA ULTRATHIN ENDOSCOPY,NORTHWESTERN UNIVERSITY,2016,645565,
RISK-STRATIFICATION OF PROSTATE CANCERS VIA FIELD CARCINOGENESIS NANOCYTOLOGY,NORTHWESTERN UNIVERSITY,2016,621871,
A PSYCHOSOCIAL INTERVENTION FOR THE CAREGIVERS OF ADVANCED LUNG CANCER PATIENTS,BAYLOR COLLEGE OF MEDICINE,2016,455917,
GENETIC EPIDEMIOLOGY OF CANCER,NATIONAL HUMAN GENOME RESEARCH INSTITUTE,2015,601408,
COCOA SUPPLEMENT AND MULTIVITAMIN OUTCOMES STUDY IN THE MIND (COSMOS-MIND),WAKE FOREST UNIVERSITY HEALTH SCIENCES,2016,806500,
SARC SARCOMA SPORE,SARC,2016,47692,
SARC SARCOMA SPORE,SARC,2016,2161999,
THE ROLE OF THE KRAS4A ISOFORM IN EPITHELIAL CARCINOGENESIS,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,256027,
THE ONCOGENIC AND TUMOR SUPPRESSOR FUNCTIONS OF THE KRAS ISOFORM 4A IN VIVO,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,470631,
GENETIC ANALYSIS OF RAS MUTATION SPECIFICITY IN SKIN AND LUNG CANCER,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,362569,
MULTIDISCIPLINARY COLLABORATIVE CLINICAL RESEARCH; CORE FACILITIES AND OTHER CLINICAL SERVICES IN NIDDK PROGRAM AREA DISEASES,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2015,577591,
THE ROLE OF CCN5 IN PROGRESSION OF BREAST CANCER,KANSAS CITY VA MEDICAL CENTER,2016,,
RE-ACTIVATING MEMORY T CELLS IN THE MICROENVIRONMENT OF HUMAN TUMORS,STATE UNIVERSITY OF NEW YORK AT BUFFALO,2016,326400,
QUANTIFYING A VITAL SYMPTOM: LARGE-SCALE INPATIENT DYSPNEA MEASUREMENT,BETH ISRAEL DEACONESS MEDICAL CENTER,2016,49813,
TRNA-DERIVED RNA FRAGMENTS (TRFS) AND THEIR FUNCTIONS IN RESPIRATORY SYNCYTIAL VIRUS (RSV) INFECTION,UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,2016,387500,
REGULATION OF EPITHELIAL PLASTICITY,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,377769,
TARGETING THE CYTOKINE CIRCUITRY OF KRAS-DRIVEN LUNG CANCER,DANA-FARBER CANCER INST,2016,394578,
MECHANISMS OF ARSENIC-INDUCED MUSCLE MORBIDITY AND REDUCEDREGENERATIVE CAPACITY,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2017,414668,
ENVIRONMENTAL SCIENCE PROJECT 3 - SOCIAL DETERMINANTS OF RISK AND ATTITUDES ABOUT,UNIVERSITY OF PENNSYLVANIA,2016,,261845
MECHANOSENSORS THAT DETECT AND TREAT LUNG FIBROSIS,UNIVERSITY OF VIRGINIA,2016,674592,
BIOSTATISTICS; INFORMATICS AND BIOINFORMATICS CORE,UNIVERSITY OF COLORADO DENVER,2016,,250697
IMPROVING OUTCOMES AFTER STEM CELL TRANSPLANTATION,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2015,1283329,
DIRECT EPIGENETIC REPROGRAMMING OF T CELLS,CINCINNATI CHILDRENS HOSP MED CTR,2015,2340000,
MEMORY POTENTIAL; MOLECULAR CHARACTERIZATION; AND TRANSLATIONAL APPLICATIONS OF THE NOVEL THEO/TCEO T CELL PHENOTYPE,UNIVERSITY OF TX MD ANDERSON CAN CTR,2016,38676,
WASHINGTON UNIVERSITY/ SITEMAN CANCER CENTER LEAD ACADEMIC SITE,WASHINGTON UNIVERSITY,2016,1649280,
MOLECULAR DETERMINANTS OF CHROMOSOME TRANSMISSION AND CELL CYCLE REGULATION,DIVISION OF BASIC SCIENCES - NCI,2015,1371841,
NOVEL ROLES FOR ONCOGENIC SOX2 IN ESOPHAGEAL SQUAMOUS CELL CARCINOMA,DANA-FARBER CANCER INST,2016,384872,
VALUE OF INFORMATION METHODS FOR NHLBI TRIALS,UNIVERSITY OF WASHINGTON,2016,672056,
A NON-CANONICAL RNA STRUCTURE REGULATES PRE-MIRNA MATURATION,KENT STATE UNIVERSITY AT KENT,2015,374665,
INVESTIGATION OF OCULAR DISEASE AND HOUSEHOLD FUEL USE IN KASKI DISTRICT; NEPAL,UNIVERSITY OF CALIFORNIA BERKELEY,2016,478019,
CLINICAL STUDIES TO CIRCUMVENT DRUG RESISTANCE,DIVISION OF BASIC SCIENCES - NCI,2015,158452,
TRANSLATIONAL STUDIES OF THE HISTONE DEACETYLASE INHIBITOR ROMIDEPSIN,DIVISION OF BASIC SCIENCES - NCI,2015,1188387,
INVESTIGATION OF THE ABC HALF-TRANSPORTER ABCG2,DIVISION OF BASIC SCIENCES - NCI,2015,237678,
DETECTION OF CHROMOSOMAL TRANSLOCATIONS BY SINGLE MOLECULE RNA IMAGING,RBHS-NEW JERSEY MEDICAL SCHOOL,2016,397500,
TARGETED RADIATION THERAPY FOR PANCREATIC CANCER,UNIVERSITY OF NEBRASKA MEDICAL CENTER,2016,435945,
UNDERSTUDIED POLYCYCLIC AROMATIC HYDROCARBONS INVOLVED IN PULMONARY INFLAMATION,UNIVERSITY OF COLORADO DENVER,2015,457866,
SMOKESCREEN TRANSLATIONAL (TL) ANALYSIS PLATFORM,BIOREALM,2016,150000,
PREDICTING PULMONARY FUNCTION CHANGE TO IMPROVE RADIATION PLANNING AND OUTCOME,UNIVERSITY OF WISCONSIN-MADISON,2016,371731,
OCCUPATIONAL AND ENVIRONMENTAL DETERMINANTS OF CANCER AMONG WOMEN AND MINORITIES,DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,2015,498809,
REGULATION OF INNATE LYMPHOCYTE FUNCTION BY ZBTB32,RBHS-NEW JERSEY MEDICAL SCHOOL,2016,162000,
ROLE OF PROTEIN INTERACTIONS IN RETINA DEVELOPMENT AND FUNCTION,NATIONAL EYE INSTITUTE,2015,836806,
CANCER BIOINFORMATICS SERVICES,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,,341805
INFORMATICS METHODS AND MODELS FOR COMPUTATIONAL PATHOLOGY,BETH ISRAEL DEACONESS MEDICAL CENTER,2016,153528,
CHARACTERIZATION OF AMH AS PART OF A NOVEL TGF-BETA SIGNALING LOOP,DREXEL UNIVERSITY,2016,42070,
BIFUNCTIONAL IMMUNOSTIMULATORY ANTIBODIES FOR TREATMENT OF BREAST CANCER,JOHNS HOPKINS UNIVERSITY,2016,336150,
PHAGE DISPLAY TO IDENTIFY EPITHELIAL TO MESENCHYMAL TRANSITIONED (EMT) BREAST CANCER CELLS,TUSKEGEE UNIVERSITY,2016,147000,
TARGETING AN MT1-MMP/MMP2 AXIS IN MELANOMA BY A NOVEL MT1-MMP/MMP2 INHIBITOR,CASE WESTERN RESERVE UNIVERSITY,2016,174147,
THE ROLE OF TIM-3 IN REGULATING T CELL FUNCTION DURING TUBERCULOSIS,BRIGHAM AND WOMEN'S HOSPITAL,2016,,428728
HISTONE METHYLTRANSFERASES AS A TARGET FOR LUNG CANCER PREVENTION,LOVELACE BIOMEDICAL & ENVIRONMENTAL RES,2016,567957,
INHALED DELIVERY OF VIDAZA FOR TARGETED EPIGENETIC LUNG CANCER THERAPY,LOVELACE BIOMEDICAL & ENVIRONMENTAL RES,2016,759575,
DEPOSITION PROFILE AND TOXICOLOGY OF E-CIGARETTES IN THE ORAL EPITHELIUM,LOVELACE BIOMEDICAL & ENVIRONMENTAL RES,2016,545000,
GENETIC SUSCEPTIBILITY TO CARCINOGENS AND TOXICANTS,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,2015,866717,
STRESS UNDERMINES IMMUNE STIMULATION: MECHANISMS & BIOLOGICAL SIGNIFICANCE,TEL AVIV UNIVERSITY,2016,199019,
ROLE AND REGULATION OF ID1 DURING BREAST CANCER METASTASIS INITIATION,SLOAN-KETTERING INST CAN RESEARCH,2016,,493376
EXPANDED DNA; IN VITRO SELECTION; APTAMERS; AND CANCER,FOUNDATION FOR APPLIED MOLECULAR EVOLUTN,2016,393097,
COMMERCIAL POLYMERASES TO CREATE RECEPTORS; LIGANDS; AND CATALYSTS ON DEMAND,"FIREBIRD BIOMOLECULAR SCIENCES, LLC",2016,136008,
EXOSOME KINETICS IN VIVO: CELL TYPE AND DRUG SPECIFIC EFFECTS,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,2016,168368,
PULMONARY REHABILTATION BEFORE LUNG CANCER RESECTION,MAYO CLINIC ROCHESTER,2016,274025,
A HIGH EFFICIENCY IMAGER FOR REAL-TIME LUNG CANCER MONITORING DURING RADIOTHERAPY,DANA-FARBER CANCER INST,2016,756725,
GOLD NANOPARTICLES AS VASCULAR DISRUPTIG AGENTS IN RADIATION THERAPY OF NSCLC,DANA-FARBER CANCER INST,2016,216309,
REGULATION OF TUBULOGENESIS IN THE DROSOPHILA OVARY,UNIVERSITY OF WASHINGTON,2016,390038,
PROTOCOL NWU2013-02-01A PHASE I TRIAL OF INHALED ILOPROST FOR THE PREVENTION OF LUNG CANCER IN FORMER SMOKERS,NORTHWESTERN UNIVERSITY,2014,545008,
INVESTIGATING THE ROLE OF THE SMALL GTPASE RIT1 IN LUNG ADENOCARCINOMA,DANA-FARBER CANCER INST,2016,22628,
VANDERBILT NETWORK LEAD ACADEMIC PARTICIPATING SITE FOR THE NCTN,VANDERBILT UNIVERSITY MEDICAL CENTER,2016,410211,
MECHANISMS OF MRNA REGULATION BY LA-RELATED PROTEIN 1,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,294087,
DESIGNING A COMPREHENSIVE FRAMEWORK FOR THE EVALUATION OF TOBACCO PRODUCT RISKS,OHIO STATE UNIVERSITY,2016,159780,
GENETIC EVOLUTION OF GLIOBLASTOMAS DURING RADIATION AND TEMOZOLOMIDE THERAPY,DANA-FARBER CANCER INST,2016,697496,
